iter	Passed	Remaining
0	62	18598
1	65	9833
2	70	6947
3	73	5435
4	77	4554
5	80	3947
6	82	3447
7	85	3109
8	90	2915
9	93	2711
10	96	2538
11	98	2359
12	102	2257
13	105	2160
14	108	2069
15	112	2003
16	115	1927
17	118	1858
18	120	1783
19	123	1729
20	126	1685
21	128	1630
22	131	1588
23	136	1571
24	138	1522
25	140	1482
26	143	1453
27	146	1425
28	150	1405
29	153	1385
30	156	1359
31	159	1335
32	162	1312
33	166	1302
34	169	1286
35	172	1267
36	175	1248
37	177	1222
38	178	1197
39	180	1176
40	185	1170
41	188	1156
42	191	1141
43	194	1134
44	199	1128
45	202	1116
46	205	1103
47	208	1093
48	211	1084
49	213	1069
50	217	1063
51	221	1054
52	225	1049
53	228	1040
54	232	1037
55	236	1029
56	239	1020
57	242	1010
58	245	1001
59	249	998
60	252	991
61	256	985
62	259	975
63	262	968
64	266	963
65	268	951
66	271	943
67	272	931
68	274	919
69	278	915
70	280	905
71	282	896
72	286	890
73	288	880
74	290	871
75	293	863
76	294	853
77	297	846
78	300	841
79	303	835
80	305	827
81	309	822
82	311	813
83	314	809
84	319	808
85	322	802
86	325	796
87	328	792
88	333	789
89	337	787
90	341	783
91	344	778
92	348	776
93	351	770
94	354	765
95	357	760
96	361	755
97	364	752
98	368	748
99	371	743
100	375	739
101	379	736
102	382	731
103	386	727
104	389	723
105	394	721
106	398	718
107	401	713
108	404	709
109	407	704
110	412	701
111	415	697
112	419	693
113	422	689
114	426	686
115	430	682
116	433	678
117	437	674
118	440	670
119	444	667
120	448	663
121	451	659
122	455	655
123	460	653
124	463	648
125	466	643
126	469	639
127	472	635
128	476	632
129	480	628
130	483	624
131	487	619
132	491	616
133	495	613
134	498	609
135	501	605
136	505	600
137	509	598
138	513	594
139	516	590
140	520	586
141	524	583
142	529	580
143	532	577
144	536	573
145	539	569
146	543	565
147	547	561
148	550	557
149	553	553
150	557	550
151	561	546
152	565	543
153	570	540
154	573	536
155	578	533
156	582	530
157	585	526
158	589	522
159	593	519
160	596	515
161	600	511
162	603	507
163	607	503
164	610	499
165	615	496
166	619	493
167	625	491
168	629	487
169	632	483
170	636	480
171	641	477
172	645	474
173	649	470
174	652	466
175	656	462
176	659	458
177	662	454
178	666	450
179	669	446
180	673	443
181	677	439
182	681	435
183	684	431
184	689	428
185	692	424
186	696	420
187	699	416
188	703	412
189	707	409
190	710	405
191	713	401
192	717	397
193	721	394
194	724	390
195	728	386
196	731	382
197	734	378
198	738	375
199	742	371
200	745	367
201	748	363
202	752	359
203	756	355
204	760	352
205	764	348
206	767	344
207	770	341
208	774	337
209	777	333
210	780	329
211	785	325
212	789	322
213	792	318
214	796	314
215	799	310
216	803	307
217	807	303
218	810	299
219	813	295
220	817	292
221	820	288
222	824	284
223	828	280
224	831	277
225	834	273
226	838	269
227	841	265
228	844	261
229	848	258
230	851	254
231	855	250
232	858	246
233	862	243
234	866	239
235	871	236
236	874	232
237	878	228
238	881	224
239	885	221
240	889	217
241	892	213
242	895	210
243	899	206
244	902	202
245	906	198
246	909	195
247	912	191
248	916	187
249	920	184
250	923	180
251	927	176
252	930	172
253	934	169
254	938	165
255	942	161
256	945	158
257	948	154
258	953	150
259	956	147
260	959	143
261	963	139
262	967	136
263	970	132
264	974	128
265	977	124
266	980	121
267	984	117
268	988	113
269	992	110
270	995	106
271	998	102
272	1002	99
273	1005	95
274	1009	91
275	1012	88
276	1015	84
277	1019	80
278	1024	77
279	1027	73
280	1031	69
281	1035	66
282	1039	62
283	1043	58
284	1047	55
285	1051	51
286	1055	47
287	1058	44
288	1061	40
289	1065	36
290	1069	33
291	1072	29
292	1076	25
293	1080	22
294	1084	18
295	1087	14
296	1091	11
297	1095	7
298	1100	3
299	1104	0
